country,country_code,continent,year,iwi,literacy,gov_edu_exp,secondary_enrol
Venezuela,VEN,America,2009,84.6,96.0,6.87468004226685,81.3888778686523
Vietnam,VNM,Asia/Pacific,2009,66.9,94.0,4.81650018692017,
Azerbaijan,AZE,Europe,2010,70.1,100.0,2.78062009811401,83.0853181521079
Brazil,BRA,America,2010,86.3,90.0,5.64879989624023,
Cameroon,CMR,Africa,2010,37.3,71.0,2.84803009033203,44.0395081981762
Central African Republic CAR,CAF,Africa,2010,17.6,36.7526092529297,1.11760997772217,
China,CHN,Asia/Pacific,2010,61.5,95.0,3.55966520309448,91.5271835327148
Colombia,COL,America,2010,76.3,93.0,,99.9543685913086
Dominican Republic,DOM,America,2010,73.7,90.0,1.88728785514832,77.9718322753906
Ecuador,ECU,America,2010,73.9,92.0,4.60028982162476,91.5583877563477
Egypt,EGY,Africa,2010,83.4,72.0,3.54265189170837,65.257209777832
El Salvador,SLV,America,2010,66.2,84.0,4.04807996749878,67.6990127563477
Eswatini,SWZ,Africa,2010,49.7,83.0982894897461,6.11837005615234,63.5462112426758
Ghana,GHA,Africa,2010,45.1,71.0,5.54059982299805,
Guinea,GIN,Africa,2010,30.7,25.0,2.55118989944458,
Honduras,HND,America,2010,62.5,85.0,,66.0755767822266
Jordan,JOR,Asia/Pacific,2010,91.7,93.0,,87.3644409179688
Kazakhstan,KAZ,Asia/Pacific,2010,82.2,99.7816314697266,3.58735489845276,100.631418247196
Kuwait,KWT,Asia/Pacific,2010,94.6,94.0,,99.4430770874023
Malawi,MWI,Africa,2010,19.2,61.3097190856934,2.43236994743347,34.8378486633301
Malaysia,MYS,Asia/Pacific,2010,87.5,93.0,4.96645021438599,77.2356567382812
Mali,MLI,Africa,2010,27.6,31.0,3.34388995170593,37.7953300476074
Mexico,MEX,America,2010,77.1,93.0,4.93695020675659,87.2729263305664
Mongolia,MNG,Asia/Pacific,2010,58.6,98.0,4.64510011672974,92.1322174072266
Pakistan,PAK,Asia/Pacific,2010,56.2,55.0,2.05268001556396,29.8961453275523
Palestine,PSE,Asia/Pacific,2010,89.9,95.0,6.19167995452881,88.7612609863281
Panama,PAN,America,2010,75.7,94.0,,72.4545288085938
Paraguay,PRY,America,2010,75.0,94.0,2.7707200050354,73.0419769287109
Rwanda,RWA,Africa,2010,21.6,65.8522720336914,4.63126993179321,32.4029083251953
South Africa,ZAF,Africa,2010,68.4,93.0,5.13497018814087,85.1267929077148
Suriname,SUR,America,2010,81.0,95.0,,73.3080978393555
Tajikistan,TJK,Asia/Pacific,2010,62.6,99.6999969482422,4.00675010681152,85.0041198730469
Tanzania,TZA,Africa,2010,22.3,67.8006973266602,4.54169988632202,33.3581695556641
Thailand,THA,Asia/Pacific,2010,82.2,96.0,3.5084400177002,85.4706268310547
Timor Leste,TLS,Asia/Pacific,2010,35.7,58.0,11.1065797805786,67.8909270929501
Tunisia,TUN,Africa,2010,82.4,79.0,5.96306991577148,85.7978897094727
Turkey,TUR,Asia/Pacific,2010,83.0,93.0,3.7870135307312,84.2024002075195
Uganda,UGA,Africa,2010,25.3,73.0,1.72739994525909,26.3338059756956
Uruguay,URY,America,2010,88.9,98.0,,98.6642990112305
Zambia,ZMB,Africa,2010,29.0,83.0,3.41600441932678,
Afghanistan,AFG,Asia/Pacific,2011,43.6,31.0,3.4620099067688,52.198429107666
Albania,ALB,Europe,2011,85.4,97.0,3.24000835418701,95.4705276489258
Armenia,ARM,Asia/Pacific,2011,82.6,100.0,3.14385008811951,90.0805282592773
Azerbaijan,AZE,Europe,2011,71.1,100.0,2.43564009666443,82.9176205382172
Bangladesh,BGD,Asia/Pacific,2011,37.8,59.0,2.13269996643066,51.5034958279718
Bolivia,BOL,America,2011,62.8,92.0,6.45056009292603,86.1704177856445
Bosnia and Herzegovina,BIH,Europe,2011,91.3,98.1420364379883,,84.51416015625
Brazil,BRA,America,2011,87.8,91.0,5.73741006851196,
Colombia,COL,America,2011,77.6,94.0,,101.20581817627
Congo Brazzaville,COG,Africa,2011,38.0,79.3111724853516,2.64652967453003,
Costa Rica,CRI,America,2011,88.6,97.0,6.37988996505737,102.432029724121
Dominican Republic,DOM,America,2011,74.7,90.0,1.87925755977631,77.4272232055664
Ecuador,ECU,America,2011,74.8,92.0,4.74424982070923,95.6929702758789
El Salvador,SLV,America,2011,67.0,85.0,3.89854001998901,69.2876663208008
Honduras,HND,America,2011,64.1,85.0,,65.6973037719727
India,IND,Asia/Pacific,2011,45.2,69.0,3.79618000984192,68.5910110473633
Indonesia,IDN,Asia/Pacific,2011,63.7,93.0,3.18944001197815,79.5367202758789
Jordan,JOR,Asia/Pacific,2011,92.5,96.0,,87.5930404663086
Lao,LAO,Asia/Pacific,2011,59.3,58.2879409790039,1.70801997184753,47.4730241601277
Mali,MLI,Africa,2011,29.5,31.0,3.75423002243042,39.9008598327637
Mauritius,MUS,Africa,2011,88.9,89.0,3.33207011222839,88.7222900390625
Mexico,MEX,America,2011,77.3,94.0,4.90405988693237,88.3800888061523
Montenegro,MNE,Europe,2011,90.2,98.0,,93.1708908081055
Morocco,MAR,Africa,2011,80.2,67.0,,66.2594909667969
Namibia,NAM,Africa,2011,50.3,88.0,8.0213794708252,
Nepal,NPL,Asia/Pacific,2011,44.1,60.0,3.84261989593506,59.7313995361328
Pakistan,PAK,Asia/Pacific,2011,57.5,55.0,2.00100994110107,30.3576824820896
Palestine,PSE,Asia/Pacific,2011,88.7,95.0,5.33527994155884,87.6216812133789
Senegal,SEN,Africa,2011,49.5,52.0,4.90302991867065,42.3821296691895
Serbia,SRB,Europe,2011,90.0,98.0,4.2383599281311,94.6896667480469
South Africa,ZAF,Africa,2011,69.5,93.0,5.28898000717163,88.2877883911133
Togo,TGO,Africa,2011,34.8,60.0,3.07750010490417,53.6932907104492
Tunisia,TUN,Africa,2011,82.7,80.0,,87.7685089111328
Turkey,TUR,Asia/Pacific,2011,84.6,94.0,4.221519947052,87.80322265625
Uruguay,URY,America,2011,89.7,98.0,4.14937019348145,101.560180664062
Venezuela,VEN,America,2011,87.3,95.0,,82.2678070068359
Zimbabwe,ZWE,Africa,2011,39.6,83.5827102661133,,
Albania,ALB,Europe,2012,85.5,97.0,3.30906105041504,97.6080703735352
Azerbaijan,AZE,Europe,2012,72.1,100.0,2.06763005256653,82.762274922741
Bangladesh,BGD,Asia/Pacific,2012,38.5,58.0,2.04667067527771,53.6534004211426
Benin,BEN,Africa,2012,36.7,32.9488182067871,3.56202006340027,
Bhutan,BTN,Asia/Pacific,2012,57.2,55.0,,71.9950332641602
Brazil,BRA,America,2012,89.3,91.0,5.85510015487671,94.3209762573242
Cape Verde,CPV,Africa,2012,76.4,85.0,5.39769554138184,86.7075271606445
Comoros,COM,Africa,2012,46.5,49.1961402893066,2.74783992767334,
Congo Democratic Republic,COD,Africa,2012,19.3,75.0,,40.0562782287598
Cote d'Ivoire,CIV,Africa,2012,44.1,40.9816284179688,3.4344699382782,
Dominican Republic,DOM,America,2012,75.7,90.0,,77.9861068725586
